Date,Ideal Story Points Remaining,Actual Story Points Remaining
2026-02-10,28,28
2026-02-11,26.92,28
2026-02-12,25.85,27
2026-02-13,24.77,27
2026-02-14,23.69,26
2026-02-15,22.62,26
2026-02-16,21.54,25
2026-02-17,20.46,24
2026-02-18,19.38,24
2026-02-19,18.31,23
2026-02-20,17.23,22
2026-02-21,16.15,22
2026-02-22,15.08,21
2026-02-23,14.00,20
2026-02-24,12.92,19
2026-02-25,11.85,18
2026-02-26,10.77,16
2026-02-27,9.69,15
2026-02-28,8.62,13
2026-03-01,7.54,12
2026-03-02,6.46,10
2026-03-03,5.38,8
2026-03-04,4.31,7
2026-03-05,3.23,5
2026-03-06,2.15,3
2026-03-07,1.08,1
2026-03-08,0,0
